TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,9,50,30,0.03,0.03,5.033000000000001,61,67.21311475409836
5min,12,60,50,0.03,0.03,5.032999999999902,77,63.63636363636363
15min,9,26,20,0.03,0.03,5.027999999999977,55,69.0909090909091
15min,6,15,50,0.05,0.03,5.017499999999984,31,64.51612903225806
15min,12,60,50,0.05,0.02,5.012499999999946,56,46.42857142857143
15min,6,15,20,0.02,0.03,5.0094999999999885,59,81.35593220338984
15min,9,50,20,0.03,0.03,5.0,65,66.15384615384615
15min,12,26,10,0.03,0.03,4.999499999999969,61,67.21311475409836
15min,9,50,20,0.05,0.02,4.999499999999941,63,44.44444444444444
15min,3,10,30,0.05,0.02,4.996499999999941,43,51.162790697674424
5min,12,60,50,0.02,0.03,4.996499999999898,103,70.87378640776699
15min,3,26,30,0.05,0.02,4.99549999999995,53,47.16981132075472
15min,12,26,50,0.05,0.01,4.992999999999981,44,43.18181818181818
15min,12,60,10,0.03,0.03,4.987999999999985,77,63.63636363636363
15min,9,60,30,0.05,0.02,4.987499999999969,63,44.44444444444444
15min,3,60,30,0.05,0.01,4.986999999999938,79,31.645569620253166
5min,9,20,20,0.05,0.01,4.973500000000058,94,29.78723404255319
15min,6,60,10,0.02,0.03,4.966000000000008,86,74.4186046511628
15min,3,20,10,0.05,0.01,4.958999999999989,68,33.82352941176471
15min,3,20,10,0.05,0.02,4.955999999999975,56,46.42857142857143
15min,12,50,10,0.05,0.02,4.955499999999958,70,42.857142857142854
0.5min,6,50,10,0.05,0.03,4.952000000000041,149,42.95302013422819
15min,6,10,30,0.05,0.02,4.947499999999977,32,59.375
5min,3,26,30,0.05,0.03,4.944999999999993,65,50.76923076923077
5min,9,15,10,0.02,0.03,4.9399999999999125,111,70.27027027027027
5min,9,60,50,0.05,0.02,4.933499999999924,73,42.465753424657535
5min,12,50,20,0.03,0.03,4.930999999999855,90,61.111111111111114
5min,9,20,20,0.05,0.02,4.927499999999938,70,42.857142857142854
15min,9,20,20,0.02,0.03,4.921999999999969,63,79.36507936507937
15min,12,20,30,0.05,0.01,4.916999999999987,45,42.22222222222222
15min,6,60,20,0.02,0.03,4.908499999999989,83,74.69879518072288
15min,6,20,20,0.02,0.03,4.907499999999985,63,79.36507936507937
15min,9,20,10,0.02,0.03,4.9059999999999775,68,77.94117647058823
5min,12,26,30,0.05,0.02,4.905999999999935,56,46.42857142857143
15min,6,50,10,0.02,0.03,4.893999999999991,83,74.69879518072288
15min,6,20,30,0.02,0.03,4.893999999999963,58,81.03448275862068
1min,6,60,10,0.05,0.02,4.877000000000109,173,34.104046242774565
15min,3,50,20,0.05,0.01,4.876999999999953,80,31.25
5min,9,20,10,0.05,0.02,4.873999999999924,87,40.229885057471265
15min,3,20,50,0.05,0.02,4.867499999999978,44,50.0
5min,9,50,30,0.05,0.02,4.867499999999922,84,40.476190476190474
1min,3,60,10,0.05,0.02,4.852500000000035,177,34.463276836158194
15min,3,26,30,0.05,0.01,4.8434999999999775,64,34.375
15min,9,60,50,0.05,0.01,4.836999999999961,70,32.857142857142854
5min,9,50,50,0.02,0.03,4.836499999999901,102,70.58823529411765
5min,3,60,30,0.05,0.03,4.820999999999955,71,49.29577464788733
15min,9,20,50,0.05,0.03,4.819999999999979,32,62.5
15min,12,60,20,0.03,0.03,4.816999999999993,72,63.888888888888886
15min,12,20,10,0.05,0.02,4.809999999999931,58,44.827586206896555
15min,3,26,20,0.05,0.01,4.808499999999995,70,32.857142857142854
15min,3,26,20,0.05,0.02,4.806499999999971,57,45.614035087719294
5min,6,26,20,0.05,0.01,4.798500000000018,112,27.67857142857143
5min,12,60,20,0.03,0.03,4.796499999999909,96,60.416666666666664
15min,12,20,10,0.03,0.03,4.794999999999945,56,67.85714285714286
15min,9,50,10,0.02,0.03,4.794499999999971,80,75.0
5min,12,60,20,0.02,0.03,4.792999999999907,131,67.93893129770993
15min,3,60,50,0.05,0.01,4.775999999999925,75,32.0
15min,6,15,50,0.05,0.02,4.772499999999965,34,55.88235294117647
5min,12,50,10,0.02,0.03,4.770499999999927,134,67.91044776119402
5min,6,60,30,0.05,0.03,4.766499999999937,72,48.61111111111111
5min,9,20,20,0.02,0.03,4.761999999999915,102,70.58823529411765
