fast,slow,confirm,band_mode,atr_k,band_bps,tp_pct,sl_pct,trend_ema,cooldown,fee_bps,size,trades,freq_per_hour,total_pnl,avg_pnl,win_rate,profit_factor,mdd,sharpe
21,26,1,atr_pct,0.3,0.0,0.015,0.01,0,0,0.0,10.0,50819,11.763884334188544,793.1759999999933,0.0156078632007712,0.4950117082193668,1.0108228521531692,-0.0840063689136528,1.241106909872933
21,26,1,atr_pct,0.3,0.0,0.015,0.01,0,1,0.0,10.0,50819,11.763884334188544,793.1759999999933,0.0156078632007712,0.4950117082193668,1.0108228521531692,-0.0840063689136528,1.241106909872933
21,55,1,bps,0.0,50.0,0.02,0.015,200,0,0.0,10.0,50389,11.664345377032737,745.4270000000151,0.0147934469824766,0.4956835817341086,1.0101942012522005,-0.0621625640547968,1.1228164448233051
21,55,1,bps,0.0,50.0,0.02,0.015,200,1,0.0,10.0,50389,11.664345377032737,745.4270000000151,0.0147934469824766,0.4956835817341086,1.0101942012522005,-0.0621625640547968,1.1228164448233051
21,26,2,atr_pct,1.0,0.0,0.02,0.015,0,0,0.0,10.0,32809,7.594822430988252,731.2454999999892,0.0222879545246727,0.4951385290621475,1.016219394382829,-0.0567260674844024,1.7655185900626122
21,26,2,atr_pct,1.0,0.0,0.02,0.015,0,1,0.0,10.0,32809,7.594822430988252,731.2454999999892,0.0222879545246727,0.4951385290621475,1.016219394382829,-0.0567260674844024,1.7655185900626122
21,26,2,atr_pct,1.0,0.0,0.02,0.015,200,0,0.0,10.0,32809,7.594822430988252,731.2454999999892,0.0222879545246727,0.4951385290621475,1.016219394382829,-0.0567260674844024,1.7655185900626122
21,26,2,atr_pct,1.0,0.0,0.02,0.015,200,1,0.0,10.0,32809,7.594822430988252,731.2454999999892,0.0222879545246727,0.4951385290621475,1.016219394382829,-0.0567260674844024,1.7655185900626122
21,55,1,bps,0.0,120.0,0.015,0.01,0,0,0.0,10.0,12492,2.891722448349698,728.3799999999632,0.0583077169388379,0.4970381043868075,1.0401022028628144,-0.0318715155560018,3.3401368562446137
21,55,1,bps,0.0,120.0,0.015,0.01,0,1,0.0,10.0,12492,2.891722448349698,728.3799999999632,0.0583077169388379,0.4970381043868075,1.0401022028628144,-0.0318715155560018,3.3401368562446137
21,55,1,bps,0.0,120.0,0.015,0.01,200,0,0.0,10.0,12492,2.891722448349698,728.3799999999632,0.0583077169388379,0.4970381043868075,1.0401022028628144,-0.0318715155560018,3.3401368562446137
21,55,1,bps,0.0,120.0,0.015,0.01,200,1,0.0,10.0,12492,2.891722448349698,728.3799999999632,0.0583077169388379,0.4970381043868075,1.0401022028628144,-0.0318715155560018,3.3401368562446137
9,55,1,bps,0.0,120.0,0.02,0.01,0,0,0.0,10.0,37614,8.707112405717702,712.0360000000534,0.0189300792258215,0.4962779816025948,1.0129509079909984,-0.0591842753793672,1.3701549384533995
9,55,1,bps,0.0,120.0,0.02,0.01,0,1,0.0,10.0,37614,8.707112405717702,712.0360000000534,0.0189300792258215,0.4962779816025948,1.0129509079909984,-0.0591842753793672,1.3701549384533995
9,55,1,bps,0.0,120.0,0.02,0.01,200,0,0.0,10.0,37614,8.707112405717702,712.0360000000534,0.0189300792258215,0.4962779816025948,1.0129509079909984,-0.0591842753793672,1.3701549384533995
