fast,slow,confirm,band_bps,tp_pct,sl_pct,trades,freq_per_hour,total_pnl,sharpe_like,max_drawdown,score,trial
26,40,3,11.414715201579309,0.005898582596927408,0.009316007935908846,443.0,1.8464744703021883,-523.9708460073837,-20.55163678375379,535.3726590242659,-2486.6612798022684,95
23,34,3,8.682595505179886,0.010511626303048164,0.013888159172950212,482.0,2.009030913511636,-343.70302894288415,-8.31269422530744,376.68137765786196,-2550.936814217618,30
24,37,3,10.398370805882326,0.005746878212372809,0.009641344303047016,460.0,1.9173324070857938,-485.4660539903367,-23.645137202027907,491.32582261102107,-2568.1582931876374,70
25,39,3,11.759279507786145,0.008355469932893272,0.010186628921959357,439.0,1.8298020145883989,-601.1435607687538,-23.254926641811476,626.940085151422,-2576.5431251854434,125
26,39,3,10.583850078399797,0.022497977611649345,0.010063770107660531,446.0,1.8589788120875306,-598.8274877203497,-23.82241565722809,648.619421297888,-2643.4770641100777,146
25,40,3,11.476612599544882,0.006263304562920981,0.011224663164444891,463.0,1.9298367488711359,-526.945746659817,-28.129254548133993,528.6137866598037,-2653.739063186804,116
26,40,3,10.70189621955019,0.0221819181188787,0.009977013998579467,460.0,1.9173324070857938,-534.9621134728151,-18.189266096375885,584.629584198381,-2663.7606463532306,150
25,39,3,11.381482673372973,0.013349603531263961,0.007878230331604619,446.0,1.8589788120875306,-677.3611456616871,-24.31463898860603,684.2723998363417,-2739.88643365378,109
25,34,2,11.515043058675085,0.023786824016959147,0.011265118278216147,482.0,2.009030913511636,-478.7147734074826,-20.161550529244398,508.9236690097532,-2753.2545899885563,199
26,40,3,10.664256476501818,0.01835629330312625,0.01094113015898029,462.0,1.9256686349426886,-624.9754865336979,-22.28745248307115,641.0979873797605,-2799.0904953572626,160
23,35,3,9.17466067418761,0.011153699791986268,0.010089662820180636,488.0,2.0340395970823204,-489.2559511525981,-24.45487744849958,505.30077739106855,-2812.431021757623,53
22,38,3,11.971827462780814,0.008427684888600732,0.0053372966516084756,490.0,2.042375824939215,-481.2388292328347,-15.778272026461368,502.76243290154343,-2818.949522764682,40
26,39,3,10.321993401467944,0.021731702630351,0.008100011985550085,453.0,1.888155609586662,-690.0103365844844,-25.59080197376969,705.496896584471,-2821.629084247421,177
25,40,3,11.399825525507671,0.025386447669634785,0.008727188449122424,466.0,1.942341090656478,-628.7960078282986,-27.928347126393753,639.1767478282909,-2835.8593977680393,190
26,42,3,11.39865864555322,0.010928215319482602,0.010425582574112465,481.0,2.0048627995831887,-555.1474144648046,-20.00785222222186,582.8245842059223,-2858.286090956365,126
26,41,3,10.832773188036137,0.006868566340600598,0.007492852059589519,476.0,1.9840222299409518,-601.4900596673207,-27.93051146633783,603.1580996673274,-2873.9066205295217,58
25,34,2,11.311418928239616,0.005258710974227414,0.0069718134086186375,491.0,2.0465439388676625,-517.6184611997031,-27.883157204523435,527.4864589655681,-2877.2378841382647,39
22,38,3,11.974522175894185,0.007544906843156996,0.005380348976591401,490.0,2.042375824939215,-529.9646922591786,-20.321108398637357,543.164134400251,-2888.3305201775975,41
23,34,3,8.414378787689346,0.013613313338296823,0.013644612346562354,493.0,2.054880166724557,-530.3148766673855,-16.50488222055818,553.9260114969529,-2918.688704087032,51
25,41,3,11.509029857099282,0.006919645962212514,0.018988132817170038,481.0,2.0048627995831887,-662.0682081120601,-25.177450773015835,663.7362481120581,-3006.179676411768,110
26,42,3,10.880795283565044,0.006724894577161182,0.011770545479265244,499.0,2.0798888502952413,-582.1437897165567,-23.51994876628671,583.8118297165493,-3036.1794000419427,83
25,39,3,9.697255912806407,0.005904115686117614,0.013011807382802418,499.0,2.0798888502952413,-609.8219616033327,-23.38005017928654,611.4900016033371,-3077.6826680134127,87
26,43,3,11.0988305511964,0.0056006146032980125,0.008739716523355225,505.0,2.104897533865926,-640.6990553200039,-20.257570694428896,650.7235038509843,-3177.881632046791,68
19,37,3,11.171943969393466,0.024688749971317495,0.010802550127526366,548.0,2.284126432789163,-435.6270211354103,-14.194335661901409,477.8098411354131,-3244.2042408476327,147
26,43,3,10.34008212013945,0.021409643864709862,0.009667659955932897,531.0,2.2132684960055578,-542.1641717857085,-18.68784766962192,594.5583929659406,-3267.849145046757,149
25,44,3,11.69981416500776,0.00513795058270503,0.010995591344483132,521.0,2.171587356721084,-628.8222850942461,-20.277311462553747,639.5502655869423,-3293.799862476141,75
26,43,3,10.283648050001865,0.0051358625189349815,0.011006311193982536,532.0,2.217436609934005,-618.4930183257219,-20.914739117416506,629.2105084198756,-3370.062966315411,86
26,38,3,6.558874103324632,0.02271476226593049,0.009739225011133161,570.0,2.3758249392150055,-492.15892465567794,-17.51197598940125,515.4848846556888,-3503.3024430124738,174
26,45,3,11.18557772521074,0.0058811756230812764,0.009458766716291714,537.0,2.238277179576242,-693.4285663429154,-20.568411526123676,695.096606342926,-3519.5880698194746,64
25,38,3,7.463930902267277,0.006709883203628337,0.009875870233530534,557.0,2.3216394581451896,-581.825723028683,-30.64412976328851,593.2076515725985,-3524.77287808169,127
24,45,3,10.731820982336998,0.009892772046249889,0.011558947879526467,580.0,2.4175060784994793,-478.3755034349153,-17.145691351888257,505.20055002834306,-3567.7025045832343,90
21,41,3,11.586563892084007,0.005047593829636211,0.006664738095698417,555.0,2.3133032302882945,-647.3749622924211,-39.117525516543715,664.7448050457879,-3610.2655779435586,54
25,47,3,11.514250092401237,0.007625819328604048,0.010365616061837623,564.0,2.350816255644321,-609.1763377661417,-18.864803248354207,616.90012031689,-3621.1453895380637,66
26,46,3,10.979610216426938,0.008649083641590512,0.006565074739152313,552.0,2.3007988885029524,-697.1906022503618,-33.37677874721439,697.1906022503681,-3650.721358256172,42
26,50,3,11.174539789631599,0.0073356775754031284,0.00947654365348027,584.0,2.4341785342132685,-558.0740919472878,-20.937236406463118,583.9174922880429,-3720.4836301584924,100
24,46,3,10.690193908638019,0.018643956040688407,0.015944201435611472,590.0,2.4591872177839527,-557.9134588377747,-17.657632880022614,602.1529588377853,-3779.130137112575,26
23,41,3,8.883293948108406,0.010085356165011104,0.011260660683977942,600.0,2.5008683570684265,-513.3872839404995,-13.676522431189339,546.324493384489,-3789.6538970127162,32
25,50,3,11.204123857926708,0.005425807820756813,0.006052899681486746,607.0,2.530045154567558,-526.5465430657592,-38.04023133631603,535.9433247044872,-3858.412537686751,48
23,41,3,8.741729823917645,0.00936683319039133,0.01148934735947573,604.0,2.517540812782216,-572.2839983899265,-16.427150598830462,591.7669993511463,-3904.891838689815,33
24,43,3,9.255792388892209,0.006236259511479425,0.007853630565361185,598.0,2.492532129211532,-623.3964775133516,-32.161807238792754,631.4107778626021,-3927.3823055915955,47
15,36,3,10.90121443776168,0.025823151646794953,0.010761638036160606,619.0,2.580062521708927,-556.1304916218093,-13.823388088434626,603.7601800006596,-4019.5179638488366,157
25,49,3,9.949591281366207,0.006265068504514097,0.01275625497448188,632.0,2.634248002778743,-618.5007575938683,-25.215392226667202,626.2555330167961,-4202.646068882419,55
23,37,3,6.674793628093198,0.007882545738431706,0.008851010610779484,617.0,2.571726293852032,-768.5354101696017,-30.52409588070449,777.1584970624899,-4303.619655992981,52
22,39,3,7.587288007031993,0.007127812444469562,0.01135999096143118,635.0,2.646752344564085,-678.8602076822999,-25.545619266945977,692.8754309686356,-4321.357174221483,35
13,36,3,11.061849041744157,0.005939213328925477,0.010492265954269548,641.0,2.6717610281347692,-752.4657295032476,-30.08893686525408,760.3843642195352,-4479.188861569079,88
24,52,3,10.141607647011242,0.012271990741073349,0.006309645377237535,663.0,2.7634595345606114,-635.322677606032,-25.144900969853957,647.6253376060358,-4488.568905627259,60
26,41,3,5.848668006730522,0.021981280692491605,0.011421392120882307,665.0,2.771795762417506,-669.2130571266338,-22.44209354747857,696.7594380571518,-4563.428510344969,140
23,36,2,11.764556774317747,0.006941046785530533,0.013071495519901943,664.0,2.767627648489059,-747.0576612143573,-33.0304683541384,759.8984290940625,-4665.56521957492,130
26,59,3,11.08698191737699,0.023877457691820217,0.008035475276757112,676.0,2.8176450156304274,-691.0761509881687,-27.235278835834926,725.2496509351622,-4691.714535600188,188
11,34,3,10.229399659526331,0.019384535164731365,0.009591909590000109,673.0,2.8051406738450853,-735.7591394889232,-32.58467113451362,748.6062194889146,-4723.6020640370025,187
26,35,3,3.182141954189277,0.023804131541526993,0.011758149098035346,692.0,2.8843348384855854,-692.4467244338848,-20.424571945807497,719.9987718920438,-4823.158244545658,165
20,48,3,9.549716098848943,0.015364460080793048,0.017765198255584192,698.0,2.9093435220562696,-716.417452882918,-23.321290640285028,739.8754728829208,-4907.3743625009465,28
24,54,3,8.94345880412554,0.011181238712981342,0.00916841582405636,702.0,2.926015977770059,-717.4523233038722,-28.2672875854913,747.6912936478311,-4946.156654426455,36
20,35,3,5.531655287582119,0.02117907569566751,0.014673254426124802,697.0,2.9051754081278225,-801.324102849686,-23.16251445249611,828.2043428497,-5028.093341975431,15
10,40,3,11.296152279918536,0.00654094053049164,0.008856801223773867,699.0,2.913511635984717,-791.9673047700966,-32.091423420465254,825.2612101136438,-5034.830324138399,72
18,50,3,9.751328233611146,0.028487473539104725,0.018422410256414733,717.0,2.9885376866967697,-725.488344140527,-24.000860152877877,748.5082241405289,-5079.217915619619,8
15,44,3,9.695675751604535,0.0093087345471984,0.009257805790624584,718.0,2.992705800625217,-723.1743515560235,-16.639792085492495,765.7412221318882,-5093.120543080951,50
24,58,3,8.426380960735745,0.01054078601637,0.013505076477283074,742.0,3.0927405349079544,-632.471639694885,-20.04469487644778,654.4955632859837,-5147.20496064143,34
26,40,3,4.626540102237877,0.005638682872274195,0.010138165680857722,706.0,2.942688433483849,-839.815354747026,-30.7698985531646,847.9295834242257,-5152.234003282153,134
26,68,3,11.113891872410129,0.02166838350520141,0.010342320302830204,728.0,3.034386939909691,-723.5019186396718,-28.869363880733022,738.310807518661,-5164.318138606457,168
26,65,3,10.28847957250363,0.02446120744120996,0.015149834008984347,727.0,3.0302188259812435,-740.8686670537737,-24.553705255574375,760.9593070537849,-5184.24134306871,14
25,75,3,11.444991454788978,0.029596855403654865,0.016817638934805604,753.0,3.1385897881208753,-670.7131408844158,-18.870637797733032,685.0497408844276,-5292.304651348153,10
